Mar 2018	% Chg from Mar '17	YTD	% Chg from YTD
Cars	555,625 	-9.2	1,374,507	-10.8
   Midsize	231,529	-13.4	580,263	-14.5
   Small	238,056	-7.7	579,198	-10.8
   Luxury	86,029	-0.9	215,006	 	 0.7
   Large	11	-57.7	40	-64.0
Light-duty trucks	1,097,904	16.3	2,736,038	 	 9.8
   Pickup	260,949	7.9	653,891	 	 2.8
   Cross-over	572,829	27.0	1,415,954	 	 18.2
   Minivan	48,325	5.2	126,145	 	 2.7
   Small Van	6,984	0.8	17,799	 	 2.1
   Large Van	34,809	0.1	85,662	 	 0.4
   Midsize SUV	82,140	-7.4	220,338	-6.6
   Large SUV	30,820	7.3	78,730	-1.4
   Small SUV	35,107	45.6	75,328	 	 27.9
   Luxury SUV	25,941	19.2	62,191	 	 9.7
Total SUV/Cross-over	746,837	21.6	1,852,541	 	 13.7
Total SUV	174,008	6.6	436,587	 	 1.2
Total Cross-over	572,829	27.0	1,415,954	 	 18.2
